,prsn_wr_rs,prsn_wr_ps,prsn_rs_ps,prsn_ps_dt,spmn_wr_rs,spmn_wr_ps,spmn_rs_ps,spmn_ps_dt,kdll_wr_rs,kdll_wr_ps,kdll_rs_ps,kdll_ps_dt
count,131.0,131.0,131.0,128.0,131.0,131.0,131.0,128.0,131.0,131.0,131.0,128.0
mean,-0.8454958663837031,0.021222891514495478,-0.23638543513184987,0.9537633084690247,-0.8055241124586251,0.06647546797231034,-0.23685993791787308,0.9765667126014361,-0.6787543122764853,0.1297409340345395,-0.26842437283556975,0.9505754246902904
std,0.14283786260132073,0.1964578501587487,0.21059312066439806,0.06824060235216453,0.1596985649861161,0.192404755805969,0.1958738124368884,0.05603261710816025,0.16139461176411046,0.18254182598676075,0.15662036851710465,0.08237522731226528
min,-0.9932433017308512,-0.5305290245968239,-0.829531178909793,0.6592739891383783,-0.9818445793236446,-0.6599995261573498,-0.8356512107254414,0.6652442630330392,-0.9100890483920426,-0.49261089452480583,-0.6698571464504953,0.5539515656758935
25%,-0.945949802249582,-0.1210155936881801,-0.38169550689469817,0.9499244091347934,-0.9262488346766848,-0.04380809975463381,-0.35394510307331734,0.9892840498990536,-0.8087734755492915,0.022681362822553734,-0.39126370312201597,0.9486126871953684
50%,-0.8891960390631244,0.06809574252343767,-0.22872654277044036,0.9816893820893781,-0.8560139123222176,0.11722154280265873,-0.2319859089791469,0.9978095675667769,-0.7083572596607337,0.16356854585887673,-0.27866105136698816,0.9851661084728554
75%,-0.7958952066650344,0.16989097687057184,-0.09876434476963673,0.9933281882701787,-0.7456525129417073,0.18944344076160116,-0.11029210843329132,0.9991169240152642,-0.5905507396113118,0.256882879970752,-0.16186834129418987,0.9925168910880781
max,-0.005622537041401242,0.45636352357875715,0.625079271326125,0.9996464274296386,-0.050042556766971655,0.41114554243135554,0.3856864030454753,0.9999896934576646,-0.05272208655331018,0.4936198967322888,0.21891850650805925,0.9995669433417539
