,prsn_wr_rs,prsn_wr_ps,prsn_rs_ps,prsn_ps_dt,spmn_wr_rs,spmn_wr_ps,spmn_rs_ps,spmn_ps_dt,kdll_wr_rs,kdll_wr_ps,kdll_rs_ps,kdll_ps_dt
count,131.0,131.0,131.0,128.0,131.0,131.0,131.0,128.0,131.0,131.0,131.0,128.0
mean,-0.8368296530922903,0.0365245993773114,-0.23093902417478576,0.9541180735081134,-0.8079221937960885,0.02843901958311428,-0.21654506846069468,0.9767931301904803,-0.6732309251858978,0.07364846916208594,-0.2246318893100066,0.9505569495345864
std,0.1427052660264662,0.18598913218112129,0.20446256552887726,0.06733912825280172,0.1574881072052637,0.1761260665074543,0.20153735545500975,0.05497413219094122,0.15687457396381047,0.15150789168508136,0.14131893437822754,0.08140911595833937
min,-0.9883365629884597,-0.5056048490049577,-0.7972303681299717,0.6603328822237424,-0.9769237102921763,-0.545658935869287,-0.7817573215140426,0.6738484112277869,-0.9007249715389886,-0.39446783679557884,-0.5931555541087569,0.5612973791310806
25%,-0.9345113515888133,-0.06747659147650362,-0.3584397892951987,0.9502072732911753,-0.9189412620228312,-0.06556516145553376,-0.3587921039695888,0.9885567264316594,-0.7874830613560244,-0.007783578656944056,-0.3211831450738867,0.9481778848494684
50%,-0.8716624510962755,0.07186763650512659,-0.22855189484689264,0.9819693781447045,-0.8414397135301824,0.06685577313832,-0.20400306596737192,0.9977167533797162,-0.6986523857875276,0.09398021931333878,-0.22515939836355459,0.9844721394695805
75%,-0.8067481980233602,0.1684457263017507,-0.10241414848179307,0.9932029117812092,-0.7700676932594224,0.14002623204899484,-0.075500254063356,0.9990146156078182,-0.6087174721002986,0.18018227867367842,-0.12635812847242278,0.9922811972148379
max,-0.18463104201429031,0.4257541238003426,0.6296593546944291,0.9996558742084845,-0.0801191218233257,0.40043212682861806,0.39624531283964076,0.9999963012707447,-0.061463528798030805,0.3456441562583145,0.2291676445673348,0.9997816593886463
