,country_region_code,country_region,prsn_wr_rs,prsn_wr_ps,prsn_rs_ps,prsn_ps_dt,spmn_wr_rs,spmn_wr_ps,spmn_rs_ps,spmn_ps_dt,kdll_wr_rs,kdll_wr_ps,kdll_rs_ps,kdll_ps_dt,population_2019
0, 2,United Arab Emirates,-0.9616625849742779,0.1851500506176279,-0.2861297218061779,0.9646373691632645,-0.9474573839399809,0.14200223254851682,-0.1950030838854063,0.9984830910737231,-0.8442173742420556,0.2500731051214737,-0.28029718704524553,0.9894296108833475,9770529.0
1, 237,Afghanistan,-0.8027543523432705,0.2516652933949437,-0.5158018259788186,0.9936711388696003,-0.7025815133561835,-0.03335825203527967,-0.25286019265935467,0.9969276502555294,-0.5167566947019091,0.04491986502762394,-0.19712107580426047,0.984335317221136,38041754.0
2, 426,Antigua and Barbuda,-0.8369312544680129,-0.321248426330505,-0.09886976004516655,0.6928115553693242,-0.8073941302295797,-0.14240939491757107,-0.1167829547754817,0.7290903905968934,-0.6607504282367342,-0.0402808410351099,-0.2182612907504194,0.6165465024090473,97118.0
3, 581,Angola,-0.8853856443778995,0.06932742874222417,-0.2106352105884048,0.9958828760183273,-0.7985885012754277,-0.0005842797862104556,-0.14085526208829005,0.9937720753038043,-0.6549305408428392,0.0717608246630878,-0.23673824239696975,0.9701492282518572,31825295.0
4, 816,Argentina,-0.9373331367747776,0.14078591355090894,-0.11223113843246171,0.99180310195313,-0.8766373791354136,0.2354798286956001,-0.17585546934712748,0.999769300019135,-0.7720140156930029,0.31728848454284614,-0.26387219100877135,0.9977874178581497,44938712.0
5, 1051,Austria,-0.8215273495797457,-0.010724617258267944,-0.3401520158895973,0.828465791810431,-0.7476741028564272,0.1364608676734917,-0.37774371729360423,0.9992763230206478,-0.6018151816319885,0.17359790223870009,-0.392266296732746,0.9916948768760302,8877067.0
6, 1286,Australia,-0.9457125120120989,-0.2522097115944934,0.11429841719711162,0.9310486714803157,-0.8616217378604458,-0.09261585256170118,-0.06348932993031195,0.9975329131159648,-0.7406639866589465,-0.022790784531736896,-0.13733297487410334,0.9824815719685833,25364307.0
7, 1521,Aruba,-0.964913502834147,0.21301782407489192,-0.1930269026448564,0.9732194831960199,-0.8714830561146484,0.11722154280265873,-0.16955080288451338,0.954480851669708,-0.7485292047331474,0.1476474056787641,-0.1947112783235533,0.8926695420998314,106314.0
8, 1728,Bosnia and Herzegovina,-0.8429684682480044,0.18743254773801446,-0.587094160235485,0.9941901032651808,-0.7566200580837323,0.134068973785372,-0.5565611272464261,0.9985495700250067,-0.6042184392379555,0.14512766161986132,-0.5088796232629472,0.9915102943552808,3301000.0
9, 1963,Barbados,-0.9759591789219388,-0.13909146387720692,0.038419624451411935,0.8114071885772729,-0.9768204366532789,0.1343908092509994,-0.16202964031196812,0.8124003802324753,-0.900689920706821,0.2718028784042845,-0.2893781414479626,0.7022469162358916,287025.0
10, 2194,Bangladesh,-0.9224005637403958,0.3937333628902659,-0.32968836487444897,0.9983399330762758,-0.8978475445093659,0.15217144744256517,-0.1627605182038534,0.9992106575536928,-0.7605612990614727,0.22830793304660071,-0.2486001844631716,0.9951501190455814,163046161.0
11, 2429,Belgium,-0.866156256883541,0.009424290065328921,-0.293110695389451,0.8958899892701719,-0.8914154705214979,0.18806840396845786,-0.31564333726413485,0.9926572246877229,-0.744581436963983,0.22691092681578856,-0.3566326492540994,0.9693840155041864,11484055.0
12, 2664,Burkina Faso,-0.701439686546664,0.040391626439097376,-0.32826537284771157,0.8570776889710754,-0.7129899889302524,-0.06723309068263716,-0.2343564231265411,0.9857201665980997,-0.5911764267779848,-0.048224540231141554,-0.20227565533104272,0.9415533727794186,20321378.0
13, 2899,Bulgaria,-0.7547925628393001,0.11374317195880743,-0.6142949270611655,0.9932138714037048,-0.6391633096636598,0.12211661387114621,-0.6488406764364637,0.9997898321277046,-0.4994433442855445,0.13014852555947834,-0.5659299603103872,0.9976703521062384,6975761.0
14, 3134,Bahrain,-0.8474248743248319,-0.22029746992336408,-0.0678133685870506,0.9948058138988373,-0.7199746236092642,-0.1190356881598926,-0.08074787359486546,0.9987566188773925,-0.5741831848740488,-0.054692549618985106,-0.1302439632375501,0.9869874148930684,1641172.0
15, 3369,Benin,-0.6528516108020155,-0.0524429469138447,-0.10762256763448969,0.9956603579347314,-0.5987390657405334,-0.24119262615793316,0.10818712533321487,0.9892749816902471,-0.4962926108178838,-0.1376086737502382,0.04915525112537638,0.9461973576790689,11801151.0
16, 3604,Bolivia,-0.9698250391666804,0.24917072573991284,-0.3057717801230021,0.9752759892121676,-0.9595109546434355,0.26522488913284464,-0.24213617017465408,0.9976261389133977,-0.8946116050518592,0.3724005623128916,-0.34994513699566343,0.9891187617229309,11513100.0
17, 3839,Brazil,-0.9242794860583777,0.2558082655431736,-0.20744668028367466,0.991133141157298,-0.9267337474644803,0.31590975054941517,-0.23873501430803654,0.9990474132018625,-0.8492023336910225,0.4205772686083288,-0.35461011600525505,0.9933269726842416,211049527.0
18, 4074,The Bahamas,-0.9664253997909065,0.019579417503067364,-0.1825010445908519,0.9811490649031679,-0.9416299416583593,-0.07838467635734633,-0.05755267685022769,0.9600181457728828,-0.8210342119511548,0.021603273710343276,-0.1357525022854831,0.8976788970089647,
19, 4309,Botswana,-0.9268955557428094,0.15726942496082102,-0.25391491929320553,0.948272125053205,-0.8560139123222176,-0.05537353982660762,0.022800632461545036,0.933223874952699,-0.7067645487852464,0.018776953600961172,-0.09328014977536572,0.8573332811360795,2303697.0
